target,weight,source,type
208536,2,182532,Undirected
208807,2,182532,Undirected
208996,2,182532,Undirected
209295,1,182532,Undirected
208095,36,208075,Undirected
208096,19,208075,Undirected
208099,1,208075,Undirected
208110,3,208075,Undirected
208119,1,208075,Undirected
208122,3,208075,Undirected
208128,20,208075,Undirected
208136,12,208075,Undirected
208202,11,208075,Undirected
208241,1,208075,Undirected
208254,1,208075,Undirected
208256,9,208075,Undirected
208317,7,208075,Undirected
208330,7,208075,Undirected
208349,7,208075,Undirected
208370,6,208075,Undirected
208415,1,208075,Undirected
208416,3,208075,Undirected
208440,2,208075,Undirected
208483,5,208075,Undirected
208492,2,208075,Undirected
208523,3,208075,Undirected
208526,1,208075,Undirected
208539,4,208075,Undirected
208552,3,208075,Undirected
208558,3,208075,Undirected
208560,17,208075,Undirected
208578,2,208075,Undirected
208634,6,208075,Undirected
208689,1,208075,Undirected
208768,1,208075,Undirected
208833,1,208075,Undirected
208846,1,208075,Undirected
208903,2,208075,Undirected
208942,2,208075,Undirected
209042,1,208075,Undirected
209070,8,208075,Undirected
209270,4,208075,Undirected
209457,1,208075,Undirected
209813,1,208075,Undirected
209844,1,208075,Undirected
209864,1,208075,Undirected
209872,1,208075,Undirected
210065,4,208075,Undirected
211088,1,208075,Undirected
211190,2,208075,Undirected
211403,2,208075,Undirected
211877,1,208075,Undirected
416586,2,208075,Undirected
208077,79,208076,Undirected
208085,26,208076,Undirected
208088,40,208076,Undirected
208101,1,208076,Undirected
208105,2,208076,Undirected
208121,1,208076,Undirected
208126,1,208076,Undirected
208129,5,208076,Undirected
208130,3,208076,Undirected
208131,7,208076,Undirected
208158,1,208076,Undirected
208176,7,208076,Undirected
208186,1,208076,Undirected
208192,4,208076,Undirected
208204,7,208076,Undirected
208208,3,208076,Undirected
208223,1,208076,Undirected
208226,1,208076,Undirected
208245,1,208076,Undirected
208286,1,208076,Undirected
208295,4,208076,Undirected
208298,4,208076,Undirected
208325,2,208076,Undirected
208366,4,208076,Undirected
208377,7,208076,Undirected
208400,2,208076,Undirected
208407,1,208076,Undirected
208417,5,208076,Undirected
208428,1,208076,Undirected
208437,2,208076,Undirected
208453,4,208076,Undirected
208455,5,208076,Undirected
208479,2,208076,Undirected
208517,4,208076,Undirected
208522,4,208076,Undirected
208579,4,208076,Undirected
208627,1,208076,Undirected
208641,4,208076,Undirected
208787,2,208076,Undirected
208801,3,208076,Undirected
208816,3,208076,Undirected
208899,1,208076,Undirected
208935,2,208076,Undirected
209115,2,208076,Undirected
209166,1,208076,Undirected
209272,1,208076,Undirected
209314,1,208076,Undirected
209326,1,208076,Undirected
209339,1,208076,Undirected
209349,1,208076,Undirected
209379,1,208076,Undirected
209537,1,208076,Undirected
209547,1,208076,Undirected
209568,1,208076,Undirected
209575,1,208076,Undirected
209615,1,208076,Undirected
209673,1,208076,Undirected
209733,1,208076,Undirected
209773,1,208076,Undirected
209979,1,208076,Undirected
210007,1,208076,Undirected
210024,1,208076,Undirected
210053,1,208076,Undirected
210067,1,208076,Undirected
