name,h_index,organization_name,id,publication_num
"Vladimirova, D. B.",2,Perm National Research Polytechnic University,208219,13
"Sychkina, Evgeniya N.",3,Perm National Research Polytechnic University,208220,13
"Chudinov, Kirill M.",2,Perm National Research Polytechnic University,208221,12
"Svirshchev, Valentin I.",2,Perm National Research Polytechnic University,208222,17
"Gilev, V. G.",6,Perm National Research Polytechnic University,208223,52
"Kurushin, Daniil Sergeevich",2,Perm National Research Polytechnic University,208224,13
"Zagidullin, S. Kh",1,Perm National Research Polytechnic University,208225,23
"Belinin, Dmitry Sergeevich",2,Perm National Research Polytechnic University,208226,13
"Murzakaev, Rustam Talgatovich",3,Perm National Research Polytechnic University,208227,16
"Tashkinov, Anatoliy A.",4,Perm National Research Polytechnic University,208228,32
"Ershov, Victor V.",4,Perm National Research Polytechnic University,208229,12
"Ashikhmin, S. G.",4,Perm National Research Polytechnic University,208230,24
"Khripchenko, S. Yu",10,"RAS - Institute of Continuous Media Mechanics, Ural Branch",208231,59
"Lokhov, Valeriy A.",4,Perm National Research Polytechnic University,208232,17
"Voronov, Leonid V.",5,Perm National Research Polytechnic University,208233,14
"Vaisman, Ya I.",2,Perm National Research Polytechnic University,208234,13
"Solodnikov, Sergey Yu",5,Perm National Research Polytechnic University,208236,18
"Serovaev, Grigorii S.",6,RAS - Ural Branch,208237,37
"Osipenko, Michael A.",3,Perm National Research Polytechnic University,208238,16
"Ofrikhter, Vadim",4,Perm National Research Polytechnic University,208239,14
"Polygalov, Stepan",3,Perm National Research Polytechnic University,208240,11
"Gerasimov, Roman M.",2,Perm National Research Polytechnic University,208241,11
"Shipilovskikh, Daria A.",2,Perm National Research Polytechnic University,208242,11
"Babushkin, Andrey V.",5,Perm National Research Polytechnic University,208243,20
"Varushkin, S. V.",2,Perm National Research Polytechnic University,208244,9
"Peshcherenko, S. N.",1,Perm National Research Polytechnic University,208245,12
"Bachev, Nikolay L.",2,Perm National Research Polytechnic University,208246,10
"Kukhtinskii, A. E.",3,Perm National Research Polytechnic University,208247,11
"Akhunzianova, Karina A.",3,Perm National Research Polytechnic University,208248,11
"Ilinykh, Galina V.",2,Perm National Research Polytechnic University,208249,11
"Tverier, Victor M.",3,Perm National Research Polytechnic University,208250,12
"Rastegaev, A. V.",3,,208251,11
"Bykov, Anton Alekseevich",4,Perm National Research Polytechnic University,208252,11
"Pesin, M. V.",2,Perm National Research Polytechnic University,208253,10
"Zubko, Ivan Yu",2,Perm National Research Polytechnic University,208254,12
"Uglev, N. P.",2,Perm National Research Polytechnic University,208255,20
"Sharifullina, Elvira R.",4,Perm National Research Polytechnic University,208256,10
"Farberova, Elena Abramovna",2,Perm National Research Polytechnic University,208257,12
"Salomatova, E. S.",3,Perm National Research Polytechnic University,208258,11
"Tret’yakov, Andrey A.",4,Perm National Research Polytechnic University,208259,10
"Chabanov, Evgenii A.",3,Perm National Research Polytechnic University,208260,12
"Lanovetskiy, Sergeiy V.",1,Perm National Research Polytechnic University,208261,10
"Zaitsev, A. V.",4,Perm National Research Polytechnic University,208264,14
"Maslova, Vera V.",5,Perm National Research Polytechnic University,208265,11
"Shumikhin, Aleksandr Georgievich",3,Perm National Research Polytechnic University,208266,14
"Kalyulin, S. L.",3,Perm National Research Polytechnic University,208269,10
"Kul'Met'Eva, V. B.",4,Perm National Research Polytechnic University,208270,22
"Ershov, Sergei Viktorovich",1,Perm National Research Polytechnic University,208271,9
"Ryzhkov, A. V.",4,Perm National Research Polytechnic University,208272,14
"Eltsova, Maria",2,Perm National Research Polytechnic University,208273,9
"Tiunov, Vasilii V.",3,Perm National Research Polytechnic University,208274,12
"Trofimov, Viktor N.",2,Perm National Research Polytechnic University,208275,9
"Kilin, Grigory A.",2,Perm National Research Polytechnic University,208276,9
"Triandafilova, G. A.",5,Perm National Research Polytechnic University,208277,9
"Prokhorov, Andrey Sergeevich",3,Perm National Research Polytechnic University,208280,9
"Krasnyakov, Ivan V.",4,Perm National Research Polytechnic University,208281,9
"Artemov, Arseniy O.",2,Perm National Research Polytechnic University,208283,9
"Demin, Vitalii Anatolevich",7,Perm State National Research University,208284,48
"Antsiferov, V. N.",7,Perm National Research Polytechnic University,208285,291
"Ilinykh, A. V.",3,Perm National Research Polytechnic University,208286,9
"Elokhova, Irina V.",3,Perm National Research Polytechnic University,208287,9
"Davlyatshin, Roman",2,Perm National Research Polytechnic University,208288,7
"Selyaninov, Aleksander A.",4,Perm National Research Polytechnic University,208289,11
"Ryaposov, I. V.",4,Perm National Research Polytechnic University,208290,14
"Stegniy, V. N.",1,Perm National Research Polytechnic University,208291,12
"Kavalerov, Maksim V.",3,Perm National Research Polytechnic University,208292,11
"Kunitskikh, Artem A.",4,Perm National Research Polytechnic University,208293,10
"Kozlova, I. A.",4,Perm National Research Polytechnic University,208294,11
"Shafranov, Alexey Vladimirovich",1,Perm National Research Polytechnic University,208295,10
"Karpovich, Yuliya Vladimirovna",1,Perm National Research Polytechnic University,208296,9
"Moshev, Evgenii R.",4,Perm National Research Polytechnic University,208297,10
"Ogleznev, Nikita Dmitrievich",2,Perm National Research Polytechnic University,208298,9
"Bersenev, Yu V.",5,Perm National Research Polytechnic University,208299,12
"Melkishev, O. A.",3,Perm National Research Polytechnic University,208300,9
"Ofrikhter, I. V.",3,Peter the Great St. Petersburg Polytechnic University,208301,9
"Dudarev, A. S.",2,Perm National Research Polytechnic University,208302,8
"Generalova, K. N.",3,Perm National Research Polytechnic University,208303,8
"Kartashev, Maksim F.",2,Perm National Research Polytechnic University,208304,8
"Golovin, D. V.",2,Perm National Research Polytechnic University,208305,8
"Freyman, Vladimir I.",2,Perm National Research Polytechnic University,208306,8
"Gitman, Yelena",2,Perm National Research Polytechnic University,208307,11
"Nikitin, Vladislav N.",2,Perm National Research Polytechnic University,208308,12
"Trifanov, Gennadiy D.",3,Perm National Research Polytechnic University,208309,11
"Baranov, Maksim A.",2,Perm National Research Polytechnic University,208310,8
"Savitsky, Yan Vladimirovich",3,Perm National Research Polytechnic University,208311,8
"Mugatarov, Artur I.",2,Perm National Research Polytechnic University,208312,7
"Kalinina, Elena V.",3,Perm National Research Polytechnic University,208313,9
"Liskova, M. Yu",1,Perm National Research Polytechnic University,208314,7
"Trufanov, Aleksandr Nikolaevich",3,Perm National Research Polytechnic University,208315,8
"Batrakova, Galina M.",1,Perm National Research Polytechnic University,208316,9
"Chechulina, Evgeniya A.",2,,208317,9
"Solomonov, Danil G.",2,Perm National Research Polytechnic University,208318,8
"Shavshukov, Viacheslav E.",3,Perm National Research Polytechnic University,208319,9
"Krasnykh, O. P.",7,Perm National Research Polytechnic University,208320,41
"Ryabov, V. G.",2,Perm National Research Polytechnic University,208321,38
"Mulyukov, Mikhail Vadimovich",2,Perm State National Research University,208322,9
"Tin’gaeva, Elena A.",3,Perm National Research Polytechnic University,208323,9
"Nikiforov, Aleksander S.",2,Perm National Research Polytechnic University,208324,8
"Karavaev, Dmitrii M.",2,Perm National Research Polytechnic University,208325,8
"Kolychev, Igor Yu",2,Perm National Research Polytechnic University,208326,8
"Surkov, Aleksandr A.",2,Perm National Research Polytechnic University,208327,8
"Eltyshev, Denis K.",4,Perm National Research Polytechnic University,208328,9
"Bartolomey, Maria L.",2,Perm National Research Polytechnic University,208329,8
"Makarevich, Elena S.",1,Perm National Research Polytechnic University,208330,8
"Sabatulina, Tatyana Leonidovna",3,Perm National Research Polytechnic University,208331,9
"Shlyakhova, Svetlana S.",1,Perm National Research Polytechnic University,208332,8
"Sevodin, M. A.",1,Perm National Research Polytechnic University,208333,9
"Sokolkin, Yu Viktorovich",3,Perm National Research Polytechnic University,208335,36
"Shmidt, Igor Albertovich",1,Perm National Research Polytechnic University,208336,7
"Cherepanova, Maria V.",3,Perm National Research Polytechnic University,208337,7
"Dolinina, Irina Gennadyevna",2,Perm National Research Polytechnic University,208338,7
"Burdin, V. V.",4,"RAS - Perm Federal Research Center, Ural Branch",208339,22
"Ravelev, Kirill A.",2,Perm National Research Polytechnic University,208340,7
"Khakimova, Firdaves K.",2,Perm National Research Polytechnic University,208341,7
"Repp, Polina V.",2,Perm National Research Polytechnic University,208342,7
"Shutemov, Sergey V.",2,Perm National Research Polytechnic University,208343,8
"Sharifulin, Vadim A.",3,Perm National Research Polytechnic University,208344,8
"Shaidurova, Galina Ivanovna",1,Perm National Research Polytechnic University,208345,13
"Shardakov, Igor Nikolaevich",11,"RAS - Institute of Continuous Media Mechanics, Ural Branch",208346,138
"Fedoseeva, Elena M.",1,Perm National Research Polytechnic University,208347,7
"Balandin, Anton Sergeyevich",1,Perm National Research Polytechnic University,208348,7
"Ostapovich, Kirill V.",2,Perm National Research Polytechnic University,208349,7
"Tsaplin, A. I.",3,Perm National Research Polytechnic University,208350,21
"Lepikhina, Tatiana L.",1,Perm National Research Polytechnic University,208351,7
"Letyagin, Igor Yu",2,Perm National Research Polytechnic University,208352,10
"Nesterova, Natalia M.",1,Perm National Research Polytechnic University,208353,7
"Kudryashov, Evgeniy V.",1,Perm State Pharmaceutical Academy,208354,8
"Bartolomei, Igor L.",2,Perm National Research Polytechnic University,208355,7
"Karpushko, Marina O.",2,Perm National Research Polytechnic University,208356,8
"Legotkin, Aleksandr Nikolaevich",1,Perm National Research Polytechnic University,208357,11
"Pechenegina, Tatyana Aleksandrovna",1,Perm National Research Polytechnic University,208358,7
"Vokhmyanin, D. S.",2,Perm National Research Polytechnic University,208359,7
"Tatiannikov, D. A.",3,Perm National Research Polytechnic University,208360,7
"Bakhtin, Vadim V.",2,Perm National Research Polytechnic University,208361,9
"Sharifulin, Albert N.",2,Perm National Research Polytechnic University,208362,15
"Stepanenko, Ivan B.",1,Perm National Research Polytechnic University,208364,7
"Vol’khin, V. V.",2,Perm National Research Polytechnic University,208365,6
"Tokarev, D. I.",1,Perm National Research Polytechnic University,208366,8
"Akhmetova, Marina I.",2,Perm National Research Polytechnic University,208367,7
"Bolshakova, Natalya Fridrikhovna",1,Perm National Research Polytechnic University,208368,7
"Kostygov, A. M.",5,Perm National Research Polytechnic University,208369,11
"Podsedertsev, Andrej",2,Perm National Research Polytechnic University,208370,7
"Yurchenko, A. N.",2,Perm National Research Polytechnic University,208371,7
"Chernova, T. V.",1,Perm National Research Polytechnic University,208373,9
"Antsiferova, Irina Vladimirovna",3,Perm National Research Polytechnic University,208374,14
"Pertsev, Alexey S.",3,Perm National Research Polytechnic University,208375,12
"Storozhev, Sergey A.",1,Perm National Research Polytechnic University,208376,7
"Shumkov, Alexey Aleksandrovich",2,,208377,8
"Tarasov, V. A.",5,Perm National Research Polytechnic University,208378,8
"Tsvetkov, Gennady A.",1,Perm National Research Polytechnic University,208379,7
"Kirchanov, V. S.",2,Perm National Research Polytechnic University,208380,23
"Korin, I. A.",3,Perm National Research Polytechnic University,208381,7
"Tuktamyshev, Vadim S.",2,Perm National Research Polytechnic University,208382,7
"Mel'nikova, Anna Sergeevna",2,Perm National Research Polytechnic University,208383,6
"Ilushin, Pavel U.",3,Perm National Research Polytechnic University,208384,6
"Shilova, Alena A.",1,Perm National Research Polytechnic University,208385,5
"Shamanov, Vitaly A.",2,Perm National Research Polytechnic University,208386,7
"Yudin, Maxim V.",1,Perm National Research Polytechnic University,208387,6
"Yakimov, S. Yu",2,Perm National Research Polytechnic University,208388,6
"Silberschmidt, Vadim V.",45,,208389,570
"Lyubimov, Eduard V.",3,Perm National Research Polytechnic University,208390,8
"Bondarev, Sergei E.",2,Perm National Research Polytechnic University,208391,6
"Korotaev, Alexander D.",3,Perm National Research Polytechnic University,208392,10
"Avgustinovich, V. G.",5,Perm National Research Polytechnic University,208393,18
"Kleveko, V. I.",3,Perm National Research Polytechnic University,208394,9
"Kuznetsov, Pavel Alexandrovich",3,Perm National Research Polytechnic University,208395,7
"Tur, Aleksandr I.",3,Perm National Research Polytechnic University,208396,7
"Burov, Vladimir E.",2,Perm National Research Polytechnic University,208397,7
